datetime,user_id,province
2021-09-09 18:00:00,6,Suphan Buri
2021-09-10 06:00:00,6,Nakhon Pathom
2021-09-11 17:00:00,6,Nakhon Pathom
2021-09-11 18:00:00,6,Suphan Buri
2021-09-12 00:00:00,6,Sing Buri
2021-12-06 14:00:00,6,Nakhon Pathom
2021-12-06 23:00:00,6,Kanchanaburi
2021-12-07 07:00:00,6,Nakhon Pathom
2021-12-14 08:00:00,6,Nakhon Pathom
2021-12-14 15:00:00,6,Ratchaburi
2021-12-14 20:00:00,6,Nakhon Pathom
2021-12-28 21:00:00,6,Nakhon Pathom
2021-12-29 04:00:00,6,Bangkok
2021-12-29 13:00:00,6,Pathum Thani
2021-12-29 14:00:00,6,Phra Nakhon Si Ayutthaya
2021-12-29 22:00:00,6,Nakhon Pathom
2021-12-30 21:00:00,6,Nakhon Pathom
2021-12-31 03:00:00,6,Samut Prakan
2021-12-31 06:00:00,6,Chachoengsao
2021-12-31 14:00:00,6,Samut Prakan
2021-12-31 15:00:00,6,Nakhon Pathom
2022-01-01 00:00:00,6,Bangkok
2022-01-01 01:00:00,6,Samut Prakan
2022-01-01 03:00:00,6,Pathum Thani
2022-01-01 06:00:00,6,Samut Prakan
2022-01-01 09:00:00,6,Bangkok
2022-01-01 11:00:00,6,Nakhon Pathom
2022-01-01 11:00:00,6,Bangkok
2022-01-01 13:00:00,6,Samut Songkhram
2022-01-01 17:00:00,6,Samut Sakhon
2022-01-01 18:00:00,6,Nakhon Pathom
2022-01-01 23:00:00,6,Ratchaburi
2022-01-02 02:00:00,6,Samut Songkhram
2022-01-02 04:00:00,6,Kanchanaburi
2022-01-02 10:00:00,6,Nakhon Pathom
2022-01-02 15:00:00,6,Ratchaburi
2022-01-03 01:00:00,6,Samut Sakhon
2022-01-03 04:00:00,6,Nakhon Pathom
2022-01-03 11:00:00,6,Nakhon Pathom
2022-01-03 21:00:00,6,Bangkok
2022-01-03 21:00:00,6,Nakhon Pathom
2022-01-04 02:00:00,6,Nonthaburi
2022-01-04 03:00:00,6,Bangkok
2022-01-04 05:00:00,6,Nakhon Pathom
2022-01-04 10:00:00,6,Nakhon Pathom
2022-01-04 15:00:00,6,Samut Prakan
2022-01-04 22:00:00,6,Pathum Thani
2022-01-05 08:00:00,6,Nakhon Pathom
2021-03-28 19:00:00,7,Bangkok
2021-03-29 04:00:00,7,Pathum Thani
2021-03-29 13:00:00,7,Phra Nakhon Si Ayutthaya
2021-03-29 16:00:00,7,Ang Thong
2021-03-30 00:00:00,7,Phra Nakhon Si Ayutthaya
2021-03-30 09:00:00,7,Pathum Thani
2021-03-30 13:00:00,7,Nonthaburi
2021-03-30 22:00:00,7,Bangkok
2021-03-31 21:00:00,7,Bangkok
2021-04-01 00:00:00,7,Pathum Thani
2021-04-01 06:00:00,7,Bangkok
2021-06-06 21:00:00,7,Bangkok
2021-06-07 06:00:00,7,Samut Prakan
2021-10-27 10:00:00,7,Bangkok
2021-10-27 20:00:00,7,Pathum Thani
2021-10-28 04:00:00,7,Bangkok
2021-12-13 11:00:00,7,Bangkok
2021-12-13 15:00:00,7,Pathum Thani
2021-12-13 23:00:00,7,Phra Nakhon Si Ayutthaya
2021-12-14 07:00:00,7,Suphan Buri
2021-12-14 15:00:00,7,Kanchanaburi
2021-12-14 19:00:00,7,Ratchaburi
2021-12-15 08:00:00,7,Bangkok
2021-12-20 09:00:00,7,Bangkok
2021-12-20 10:00:00,7,Samut Sakhon
2021-12-20 13:00:00,7,Bangkok
2021-12-27 11:00:00,7,Bangkok
2021-12-27 17:00:00,7,Samut Prakan
2021-12-28 11:00:00,7,Chon Buri
2021-12-28 13:00:00,7,Chachoengsao
2021-12-28 15:00:00,7,Prachin Buri
2021-12-28 19:00:00,7,Chachoengsao
2021-12-29 18:00:00,7,Bangkok
2021-12-29 21:00:00,7,Nonthaburi
2021-12-30 06:00:00,7,Bangkok
2021-12-31 13:00:00,7,Samut Prakan
2021-12-31 17:00:00,7,Bangkok
2021-12-31 19:00:00,7,Nakhon Pathom
2022-01-01 03:00:00,7,Samut Prakan
2022-01-01 12:00:00,7,Pathum Thani
2021-05-27 16:00:00,8,Samut Prakan
2021-05-28 02:00:00,8,Bangkok
2021-05-28 08:00:00,8,Samut Prakan
2021-05-28 14:00:00,8,Bangkok
2021-05-28 19:00:00,8,Pathum Thani
2021-05-29 04:00:00,8,Phra Nakhon Si Ayutthaya
2021-05-29 07:00:00,8,Samut Prakan
2021-12-07 17:00:00,8,Trat
2021-12-08 01:00:00,8,Chanthaburi
2021-12-15 16:00:00,8,Samut Prakan
2021-12-15 19:00:00,8,Bangkok
2021-12-16 07:00:00,8,Samut Prakan
2021-12-17 21:00:00,8,Nonthaburi
2021-12-18 07:00:00,8,Nakhon Pathom
2021-12-18 14:00:00,8,Samut Prakan
2021-12-20 11:00:00,8,Samut Prakan
2021-12-20 15:00:00,8,Chachoengsao
2021-12-20 20:00:00,8,Chon Buri
2021-12-21 06:00:00,8,Chanthaburi
2021-12-21 09:00:00,8,Chon Buri
2021-11-02 11:00:00,9,Lamphun
2021-11-02 18:00:00,9,Lampang
2021-11-02 21:00:00,9,Chiang Mai
2021-11-03 03:00:00,9,Lamphun
2021-11-04 12:00:00,9,Lamphun
2021-11-04 19:00:00,9,Chiang Mai
2021-11-05 02:00:00,9,Lampang
2021-11-05 05:00:00,9,Phayao
2021-11-05 07:00:00,9,Lamphun
2021-11-06 14:00:00,9,Bangkok
2021-11-06 18:00:00,9,Samut Sakhon
2021-11-07 09:00:00,9,Lamphun
2021-11-08 08:00:00,9,Lamphun
2021-11-08 12:00:00,9,Lampang
2021-11-08 13:00:00,9,Phrae
2021-11-08 23:00:00,9,Sukhothai
2021-11-09 01:00:00,9,Lampang
2021-11-09 11:00:00,9,Lamphun
2021-11-17 16:00:00,9,Bangkok
2021-11-17 17:00:00,9,Samut Prakan
2021-11-18 01:00:00,9,Chachoengsao
2021-11-18 10:00:00,9,Chanthaburi
2021-11-18 13:00:00,9,Lamphun
2021-12-14 15:00:00,9,Lamphun
2021-12-14 18:00:00,9,Chiang Mai
2021-12-15 09:00:00,9,Lamphun
2021-12-16 17:00:00,9,Bangkok
